offense,defense,hfa,sepa
Ole Miss,Troy,1,0.11241169664405837
Ole Miss,Troy,1,-0.8646705500480635
Ole Miss,Troy,1,1.4828276256964463
Ole Miss,Troy,1,0.2630151869635011
Ole Miss,Troy,1,-0.41243647595005295
Ole Miss,Troy,1,0.7565136490605522
Ole Miss,Troy,1,-0.4900770830571839
Ole Miss,Troy,1,-0.8646705500480635
Troy,Ole Miss,-1,0.7152492610615118
Troy,Ole Miss,-1,-1.0149252556512955
Troy,Ole Miss,-1,-0.9441298991597201
Troy,Ole Miss,-1,-0.8646705500480635
Ole Miss,Troy,1,1.3391310896547566
Ole Miss,Troy,1,-0.33982237745395194
Ole Miss,Troy,1,0.040146382864168384
Ole Miss,Troy,1,1.6373371269562256
Ole Miss,Troy,1,0.41473984985504764
Ole Miss,Troy,1,0.37609717125829967
Ole Miss,Troy,1,-0.037843008959173474
Ole Miss,Troy,1,1.0707399344626038
Ole Miss,Troy,1,0.9048169329122313
Troy,Ole Miss,-1,-0.6421505306649413
Troy,Ole Miss,-1,-0.5623423968370744
Ole Miss,Troy,1,-0.3398223774539523
Ole Miss,Troy,1,1.4952088060693627
Ole Miss,Troy,1,1.2773928835455362
Ole Miss,Troy,1,-1.094384604762952
Ole Miss,Troy,1,0.040146382864168384
Ole Miss,Troy,1,-0.7395244306938038
Ole Miss,Troy,1,2.5243314248850286
Ole Miss,Troy,1,-0.1895676718507202
Ole Miss,Troy,1,-0.8646705500480634
Ole Miss,Troy,1,1.6628005392610987
Ole Miss,Troy,1,-0.6421505306649413
Ole Miss,Troy,1,-0.7140670597286207
Troy,Ole Miss,-1,-0.18956767185072032
Troy,Ole Miss,-1,-0.8646705500480635
Troy,Ole Miss,-1,-0.6421505306649414
Troy,Ole Miss,-1,2.344361070533447
Troy,Ole Miss,-1,0.6085623173623151
Troy,Ole Miss,-1,-1.3967127579739413
Troy,Ole Miss,-1,-1.9197421885635273
Ole Miss,Troy,1,0.7167192183498268
Ole Miss,Troy,1,-0.10815690098751118
Ole Miss,Troy,1,0.7908370211133471
Ole Miss,Troy,1,-0.6421505306649415
Ole Miss,Troy,1,-0.41208769123384226
Troy,Ole Miss,-1,0.9113735187551584
Troy,Ole Miss,-1,-0.33982237745395205
Troy,Ole Miss,-1,1.0703911497463934
Troy,Ole Miss,-1,-0.037843008959173474
Troy,Ole Miss,-1,1.6195170511858676
Troy,Ole Miss,-1,0.7684788513520919
Mississippi State,Memphis,1,0.41473984985504764
Mississippi State,Memphis,1,0.3760971712582992
Mississippi State,Memphis,1,-0.1895676718507202
Mississippi State,Memphis,1,1.1024111478941934
Mississippi State,Memphis,1,-0.6421505306649418
Mississippi State,Memphis,1,1.3712493456690682
Mississippi State,Memphis,1,-0.4900770830571841
Mississippi State,Memphis,1,0.3421257513589473
Mississippi State,Memphis,1,0.8785201039906783
Memphis,Mississippi State,-1,-0.33982237745395216
Memphis,Mississippi State,-1,-0.8646705500480636
Mississippi State,Memphis,1,-0.7924052362681736
Mississippi State,Memphis,1,0.4927292416783897
Mississippi State,Memphis,1,1.2125194706332567
Mississippi State,Memphis,1,0.7305687722924414
Mississippi State,Memphis,1,0.11241169664405826
Mississippi State,Memphis,1,0.4961506207182569
Mississippi State,Memphis,1,-0.6421505306649413
Mississippi State,Memphis,1,1.857805208101257
Mississippi State,Memphis,1,-0.18809771456240476
Mississippi State,Memphis,1,-0.6421505306649413
Mississippi State,Memphis,1,-0.8646705500480634
Memphis,Mississippi State,-1,-0.18956767185072
Memphis,Mississippi State,-1,-0.8646705500480634
Mississippi State,Memphis,1,0.11241169664405848
Mississippi State,Memphis,1,-0.2618329856306101
Mississippi State,Memphis,1,1.1225330138509304
Mississippi State,Memphis,1,0.7152492610615115
Mississippi State,Memphis,1,-0.8646705500480634
Memphis,Mississippi State,-1,1.0333799736852844
Georgia State,South Carolina,-1,-0.03784300895917314
Georgia State,South Carolina,-1,-0.5623423968370743
Georgia State,South Carolina,-1,-0.039312966247488146
Georgia State,South Carolina,-1,-0.8646705500480635
Georgia State,South Carolina,-1,-0.6421505306649413
Georgia State,South Carolina,-1,-0.4106177339455275
Georgia State,South Carolina,-1,0.4132698925667331
Georgia State,South Carolina,-1,-0.7129458871565166
Georgia State,South Carolina,-1,1.0287748095939104
Georgia State,South Carolina,-1,-0.18956767185072032
Georgia State,South Carolina,-1,-0.2603630283422954
Georgia State,South Carolina,-1,1.058493017555331
Georgia State,South Carolina,-1,-0.6421505306649414
Georgia State,South Carolina,-1,-0.563812354125389
South Carolina,Georgia State,1,-0.7938751935564881
South Carolina,Georgia State,1,-0.7129458871565169
Ball State,Tennessee,-1,0.263015186963501
Ball State,Tennessee,-1,0.5278218341498458
Ball State,Tennessee,-1,-0.490077083057184
Ball State,Tennessee,-1,-0.5641611388415996
Ball State,Tennessee,-1,1.7230687880820044
Ball State,Tennessee,-1,-0.1880977145624052
Ball State,Tennessee,-1,-0.41208769123384226
Ball State,Tennessee,-1,1.8173100405208786
Ball State,Tennessee,-1,-0.6421505306649418
Ball State,Tennessee,-1,-0.8646705500480634
Ball State,Tennessee,-1,-0.8912490935853505
Tennessee,Ball State,1,0.9128434760434732
Tennessee,Ball State,1,0.8511052699342527
Tennessee,Ball State,1,-0.037843008959173474
Tennessee,Ball State,1,0.7684117812516149
Tennessee,Ball State,1,-0.34129233474226695
Tennessee,Ball State,1,-0.41096651866173817
Ball State,Tennessee,-1,-0.4900770830571842
Ball State,Tennessee,-1,1.0986394004194997
Ball State,Tennessee,-1,-0.037843008959173474
Ball State,Tennessee,-1,0.6464053263214888
Ball State,Tennessee,-1,0.9731117248643786
Ball State,Tennessee,-1,-0.037843008959173474
Tennessee,Ball State,1,0.41439106513883717
Tennessee,Ball State,1,-0.11010832273906379
Ball State,Tennessee,-1,-0.6421505306649413
Tennessee,Ball State,1,0.41473984985504764
Tennessee,Ball State,1,0.4363654200792051
Tennessee,Ball State,1,1.0951181797945044
Tennessee,Ball State,1,0.7167192183498265
Tennessee,Ball State,1,0.07411780276352076
Tennessee,Ball State,1,-0.49007708305718456
Tennessee,Ball State,1,-0.8646705500480629
Ball State,Tennessee,-1,-0.6421505306649413
Ball State,Tennessee,-1,1.7975369592803516
Ball State,Tennessee,-1,0.1124116966440587
Ball State,Tennessee,-1,-0.2603630283422955
Ball State,Tennessee,-1,0.8167818978814578
Ball State,Tennessee,-1,0.7305687722924414
Ball State,Tennessee,-1,1.8519821972898836
Ball State,Tennessee,-1,-0.3401711621701633
Ball State,Tennessee,-1,-0.5623423968370735
Ball State,Tennessee,-1,-0.6421505306649413
Ball State,Tennessee,-1,2.127281530266383
Ball State,Tennessee,-1,0.5649945554582798
Ball State,Tennessee,-1,-0.8646705500480638
Tennessee,Ball State,1,-0.18956767185072032
Tennessee,Ball State,1,-0.41208769123384215
Florida State,LSU,0,-0.18956767185072
Florida State,LSU,0,0.7981299892130356
Florida State,LSU,0,-0.6421505306649418
Florida State,LSU,0,-0.8646705500480631
Florida State,LSU,0,2.357926350647258
Florida State,LSU,0,-0.6421505306649418
Florida State,LSU,0,0.0404951675803793
Florida State,LSU,0,-0.039312966247488035
Texas,Alabama,1,0.5649945554582796
Texas,Alabama,1,0.16410425954584684
Texas,Alabama,1,-1.055071638515464
Texas,Alabama,1,-0.9441298991597202
Texas,Alabama,1,-0.6421505306649413
Texas,Alabama,1,0.34247453607515776
Texas,Alabama,1,1.030244766882225
Texas,Alabama,1,0.9414405114327895
Texas,Alabama,1,-0.4904258677733946
Alabama,Texas,-1,-0.03931296624748826
Alabama,Texas,-1,-0.8646705500480636
Alabama,Texas,-1,1.6330823312996783
Alabama,Texas,-1,-0.6421505306649413
Alabama,Texas,-1,2.53789926421191
Alabama,Texas,-1,-0.7924052362681735
Alabama,Texas,-1,-0.5638123541253888
Alabama,Texas,-1,-0.6421505306649413
Alabama,Texas,-1,-1.9197421885635273
Alabama,Texas,-1,-0.18956767185072043
Alabama,Texas,-1,-0.8646705500480634
Alabama,Texas,-1,-1.2461092676544991
Alabama,Texas,-1,0.6444539045699367
